"","Q5","Q6","Q7_1","Q7_2","Q7_3","Q7_4","Q7_5","Q7_6","Q8_1","Q8_2","Q8_3","Q8_4","Q8_5","Q8_7","Q8_8","Q8_9","Q8_10","Q9_1","Q9_2","Q9_3","Q9_4","Q9_5","Q9_6","Q9_7","Q9_8","Q9_9","Q9_10","Q9_11","Q9_12","Q9_13","Q10_1","Q10_2","Q10_3","Q10_4","Q10_5","Q10_6","Q10_7","Q10_8","Q10_9","Q10_10","Q10_11","Q10_12","Q10_13","Q10_14","Q10_15","Q11_1","Q11_2","Q11_3","Q11_4","Q11_5","Q11_6","Q11_11","Q11_12","Q11_7","Q11_8","Q11_9","Q11_10","Q15_1","Q15_2","Q15_3","Q15_4","Q15_5","Q15_6","Q15_7","Q15_8","Q15_9","Q15_10","Q15_11","Q15_12","Q15_13","Q15_14","Q15_15","Q15_16","Q15_17","Q15_18","Q15_19","Q15_20","Q15_21","Q15_22","Q15_23","Q16","Q17","Q18","Q19","Q20","Q22","Q23","Q26","Q28","currency","tot_spent_usd","spent_mon","spent_ord"
"14","5","2","0","0","1","0","1","0","0","0","0","0","0","1","0","1","0","1","0","0","1","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","1","0","1","1","0","0","2",30,"1","12","10","3","6","1","9","MXN",0.98,1,"5+"
"15","3","2","0","1","0","0","1","0","0","0","0","0","1","1","0","1","0","1","0","0","0","1","0","0","1","1","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0","1","0","1","0","0","0","0","0","1","0","1",23,"2","9","7","1","5","2","7","INR",0.65,1,"5+"
"16","5","1","0","1","1","1","1","0","1","0","0","1","1","1","0","0","0","1","1","1","0","1","1","1","1","1","0","1","0","0","1","0","1","1","1","1","1","1","0","0","1","1","1","1","0","0","0","1","0","1","1","0","0","1","0","1","0","0","0","0","0","1","1","0","0","0","0","1","1","0","0","1","1","0","0","0","1","0","1","0","2",28,"3","5","3","4","4","3","4","CAD",2.3621,1,"<5"
"17","7","5","1","0","1","1","1","0","0","0","1","0","0","0","1","1","0","1","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1",25,"3","6","4","1","5","1","5","RMB",7.5,1,"<1"
"18","2","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1",54,"4","8","6","4","2","3","6","EUR",0,0,"5+"
"19","5","2","0","0","1","1","0","0","0","0","1","0","0","1","1","0","0","1","0","0","0","1","1","1","1","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","1","0","1","0","0","0","1","0","1",26,"3","5","3","4","5","1","4","CAD",1.5721,1,"<5"
"20","2","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","1","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","2",46,"3","13","12","4","4","1","10","RUB",0.14,1,"0"
"21","8","4","0","1","1","0","1","0","1","0","0","0","0","1","1","1","0","0","0","0","0","1","1","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1","0","0","1",36,"1","10","8","7","2","1","6","EUR",5.85,1,"<5"
"22","9","1","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1",29,"2","3","2","6","3","1","2","BRL",1.62,1,"5+"
"23","4","2","0","0","0","0","1","0","1","0","0","0","0","0","1","0","0","1","0","0","0","1","0","1","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1",49,"3","10","8","4","3","1","6","EUR",23.3415,1,"5+"
"24","4","2","0","1","0","1","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","1","0","1","0","0","0","0","0","0","1","1","1","0","0","1",58,"3","5","3","1","5","3","4","CAD",0.79,1,"<5"
