"","Q5","Q6","Q7_1","Q7_2","Q7_3","Q7_4","Q7_5","Q7_6","Q8_1","Q8_2","Q8_3","Q8_4","Q8_5","Q8_7","Q8_8","Q8_9","Q8_10","Q9_1","Q9_2","Q9_3","Q9_4","Q9_5","Q9_6","Q9_7","Q9_8","Q9_9","Q9_10","Q9_11","Q9_12","Q9_13","Q10_1","Q10_2","Q10_3","Q10_4","Q10_5","Q10_6","Q10_7","Q10_8","Q10_9","Q10_10","Q10_11","Q10_12","Q10_13","Q10_14","Q10_15","Q11_1","Q11_2","Q11_3","Q11_4","Q11_5","Q11_6","Q11_11","Q11_12","Q11_7","Q11_8","Q11_9","Q11_10","Q15_1","Q15_2","Q15_3","Q15_4","Q15_5","Q15_6","Q15_7","Q15_8","Q15_9","Q15_10","Q15_11","Q15_12","Q15_13","Q15_14","Q15_15","Q15_16","Q15_17","Q15_18","Q15_19","Q15_20","Q15_21","Q15_22","Q15_23","Q16","Q17","Q18","Q19","Q20","Q22","Q23","Q26","Q28","currency","tot_spent_usd","spent_mon","spent_ord"
"42","3","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1",39,"3","15","13","4","4","3","6","EUR",81.9,1,"<5"
"43","2","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1",63,"3","15","13","1","1","1","6","EUR",35.1,1,"<5"
"44","4","2","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","1","0","1","0","1","1","1","1","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","0","0","0","0","1","0","2",20,"3","16","12","7","3","6","10","RUB",7,1,"5+"
"45","7","5","0","1","0","1","1","0","1","1","1","1","0","1","1","1","0","0","0","1","0","1","0","1","0","1","0","1","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","1","0","1","0","0","1","1","1","0","1","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","1","1","1","0","1","0","1",36,"3","6","4","1","5","1","5","CNY",1.5,1,"5+"
"46","5","3","1","1","1","1","1","0","1","1","1","1","1","1","1","1","0","0","0","1","0","0","0","1","0","1","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","1","0","1","0","0","0","2",34,"3","1","15","4","6","1","12","USD",50,1,"<5"
"47","6","2","0","0","1","1","0","0","0","0","1","1","1","0","0","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","1","0","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","1","0","0","0","1","0","0","1","1","0","1","0","1",18,"2","3","2","4","5","4","2","BRL",0.9,1,"5+"
"48","8","5","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","1",18,"2","16","15","1","3","4","12","USD",0.99,1,"<1"
"49","5","2","0","0","1","1","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","1","1","0","1","1","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","1","0","0","0","1","1","1","0","0","0","1","0","0","1","1","0","0","0","2",38,"1","16","10","3","5","5","9","MXN",2.94,1,"<5"
"50","4","2","0","1","1","1","1","0","0","0","1","1","1","1","0","1","0","0","1","0","0","1","0","0","1","0","0","1","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","2",38,"2","4","14","6","7","1","3","USD",3.99,1,"<1"
"51","6","3","0","1","1","1","1","0","1","1","1","1","1","1","1","1","0","1","1","1","0","1","1","1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","0","1","1","1","1","0","0","0","0","0","0","0","0","1","0","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","0","1",34,"3","6","4","1","5","1","5","RMB",3,1,"<1"
"52","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1",35,"3","16","1","1","7","1","1","USD",1,1,"<1"
"53","7","2","0","0","0","1","1","0","1","0","0","1","0","1","0","0","0","0","0","1","0","0","1","1","1","1","0","0","0","0","0","0","1","1","0","0","1","0","0","0","1","1","1","0","0","0","0","1","0","0","1","0","0","1","0","0","0","1","0","0","0","1","1","1","1","1","1","1","1","1","1","0","1","0","0","1","1","0","1","0","2",26,"3","5","3","1","5","2","4","CAD",2.3621,1,"<5"
"54","2","2","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","1","0","0","1","1","0","1","0","0","1","0","0","0","0","0","1","0","0","1","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2",16,"2","4","14","4","2","6","3","GBP",1.35,1,"<5"
"55","2","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1",45,"4","10","8","5","4","6","6","GBP",27,1,"0"
"56","3","1","0","0","1","1","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","1","1","1","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","2",46,"3","5","3","4","2","1","4","CAD",7.9,1,"5+"
"57","2","2","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","1","0","1","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","1","0","1","0","0","0","1","0","1",57,"5","12","10","3","5","6","9","MXN",24.5,1,"5+"
"58","7","3","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","0","0","1","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","1","0","1","0","1","0","1","0","0","0","0","0","1","0","0","0","1","1","0","0","1","1","1","0","0","0","1","1","0","1","1","1","1","1","0","1",56,"4","15","13","4","5","3","6","EUR",11.7,1,"0"
"59","1","1","0","1","0","1","0","0","0","0","1","0","0","0","0","1","0","0","1","1","0","0","0","0","1","1","0","1","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","1","0","0","1","1","0","0","0","2",40,"2","7","5","5","6","6","6","EUR",11.7,1,"5+"
"60","1","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1",50,"2","7","5","7","2","2","6","EUR",23.4,1,"<5"
